          kernel ,  prs ,     m ,     n ,     p ,        GLOPS/s ,   minimum (ms) ,     median (ms),   stab (%)
   rocblas_wo_dt ,   SP ,  1500 ,     8 ,  1500 ,    1735.903336 ,       0.019131 ,       0.019259 ,   0.672981
   rocblas_wo_dt ,   SP ,  1600 ,     8 ,  1600 ,    1764.014676 ,       0.021338 ,       0.021794 ,   2.136361
   rocblas_wo_dt ,   SP ,  1700 ,     8 ,  1700 ,    2073.112157 ,       0.020070 ,       0.020971 ,   4.490378
   rocblas_wo_dt ,   SP ,  1800 ,     8 ,  1800 ,    1786.676514 ,       0.027046 ,       0.027206 ,   0.591507
   rocblas_wo_dt ,   SP ,  1900 ,     8 ,  1900 ,    1839.167590 ,       0.028520 ,       0.029531 ,   3.544558
   rocblas_wo_dt ,   SP ,  2000 ,     8 ,  2000 ,    2186.569195 ,       0.026660 ,       0.027401 ,   2.781255
   rocblas_wo_dt ,   SP ,  2100 ,     8 ,  2100 ,    2131.681911 ,       0.030661 ,       0.031049 ,   1.267496
   rocblas_wo_dt ,   SP ,  2200 ,     8 ,  2200 ,    2468.110452 ,       0.028639 ,       0.029390 ,   2.622378
   rocblas_wo_dt ,   SP ,  2300 ,     8 ,  2300 ,    2016.270767 ,       0.039079 ,       0.039380 ,   0.768715
   rocblas_wo_dt ,   SP ,  2400 ,     8 ,  2400 ,    2527.214812 ,       0.033791 ,       0.034189 ,   1.178297
   rocblas_wo_dt ,   SP ,  2500 ,     8 ,  2500 ,    2385.591552 ,       0.039032 ,       0.039310 ,   0.714678
   rocblas_wo_dt ,   SP ,  2600 ,     8 ,  2600 ,    2612.886660 ,       0.038669 ,       0.038800 ,   0.339108
   rocblas_wo_dt ,   SP ,  2700 ,     8 ,  2700 ,    2593.089203 ,       0.041740 ,       0.042140 ,   0.959616
   rocblas_wo_dt ,   SP ,  2800 ,     8 ,  2800 ,    2567.923657 ,       0.045469 ,       0.045800 ,   0.728855
   rocblas_wo_dt ,   SP ,  2900 ,     8 ,  2900 ,    2538.497069 ,       0.049331 ,       0.049691 ,   0.729786
   rocblas_wo_dt ,   SP ,  3000 ,     8 ,  3000 ,    2218.045652 ,       0.060680 ,       0.060802 ,   0.200385
   rocblas_wo_dt ,   SP ,   500 ,     9 ,   500 ,     703.530758 ,       0.006008 ,       0.006032 ,   0.396825
   rocblas_wo_dt ,   SP ,   600 ,     9 ,   600 ,     890.344739 ,       0.006790 ,       0.006871 ,   1.193820
