          kernel ,  prs ,     m ,     n ,     p ,        GLOPS/s ,   minimum (ms) ,     median (ms),   stab (%)
   rocblas_wo_dt ,   SP ,  2200 ,     7 ,  2200 ,    1838.752876 ,       0.033383 ,       0.034237 ,   2.556778
   rocblas_wo_dt ,   SP ,  2300 ,     7 ,  2300 ,    1722.904462 ,       0.039020 ,       0.039921 ,   2.309666
   rocblas_wo_dt ,   SP ,  2400 ,     7 ,  2400 ,    2120.500483 ,       0.034719 ,       0.035262 ,   1.565719
   rocblas_wo_dt ,   SP ,  2500 ,     7 ,  2500 ,    2006.202940 ,       0.040221 ,       0.040483 ,   0.652045
   rocblas_wo_dt ,   SP ,  2600 ,     7 ,  2600 ,    2185.346443 ,       0.039802 ,       0.040216 ,   1.042291
   rocblas_wo_dt ,   SP ,  2700 ,     7 ,  2700 ,    2068.946399 ,       0.045457 ,       0.045776 ,   0.702822
   rocblas_wo_dt ,   SP ,  2800 ,     7 ,  2800 ,    2138.637388 ,       0.047302 ,       0.047641 ,   0.715726
   rocblas_wo_dt ,   SP ,  2900 ,     7 ,  2900 ,    2061.566615 ,       0.052662 ,       0.053039 ,   0.715321
   rocblas_wo_dt ,   SP ,  3000 ,     7 ,  3000 ,    1983.970734 ,       0.058560 ,       0.058980 ,   0.716554
   rocblas_wo_dt ,   SP ,   500 ,     8 ,   500 ,     707.653355 ,       0.005289 ,       0.005299 ,   0.185895
   rocblas_wo_dt ,   SP ,   600 ,     8 ,   600 ,     918.193147 ,       0.005837 ,       0.005841 ,   0.060241
   rocblas_wo_dt ,   SP ,   700 ,     8 ,   700 ,    1013.564642 ,       0.007233 ,       0.007246 ,   0.188368
   rocblas_wo_dt ,   SP ,   800 ,     8 ,   800 ,    1266.631199 ,       0.007516 ,       0.007563 ,   0.625465
   rocblas_wo_dt ,   SP ,   900 ,     8 ,   900 ,    1391.034870 ,       0.008580 ,       0.008671 ,   1.062526
   rocblas_wo_dt ,   SP ,  1000 ,     8 ,  1000 ,    1100.953875 ,       0.010123 ,       0.015240 ,  50.541687
   rocblas_wo_dt ,   SP ,  1100 ,     8 ,  1100 ,    1239.182007 ,       0.011578 ,       0.015221 ,  31.466227
   rocblas_wo_dt ,   SP ,  1200 ,     8 ,  1200 ,    1466.199059 ,       0.011420 ,       0.015221 ,  33.277660
   rocblas_wo_dt ,   SP ,  1300 ,     8 ,  1300 ,    1679.148087 ,       0.012140 ,       0.015459 ,  27.337000
   rocblas_wo_dt ,   SP ,  1400 ,     8 ,  1400 ,    1229.846431 ,       0.022240 ,       0.023837 ,   7.182676
   rocblas_wo_dt ,   SP ,  1500 ,     8 ,  1500 ,    1749.976748 ,       0.018382 ,       0.019121 ,   4.020752
   rocblas_wo_dt ,   SP ,  1600 ,     8 ,  1600 ,    2104.303511 ,       0.017776 ,       0.018058 ,   1.582618
   rocblas_wo_dt ,   SP ,  1700 ,     8 ,  1700 ,    2055.083417 ,       0.020280 ,       0.021100 ,   4.044204
   rocblas_wo_dt ,   SP ,  1800 ,     8 ,  1800 ,    2157.220418 ,       0.021276 ,       0.022483 ,   5.670103
   rocblas_wo_dt ,   SP ,  1900 ,     8 ,  1900 ,    1911.597870 ,       0.026698 ,       0.027900 ,   4.500804
   rocblas_wo_dt ,   SP ,  2000 ,     8 ,  2000 ,    2353.181967 ,       0.024037 ,       0.025678 ,   6.824043
   rocblas_wo_dt ,   SP ,  2100 ,     8 ,  2100 ,    2239.523084 ,       0.028324 ,       0.029459 ,   4.006734
   rocblas_wo_dt ,   SP ,  2200 ,     8 ,  2200 ,    2627.085965 ,       0.026360 ,       0.027518 ,   4.395803
   rocblas_wo_dt ,   SP ,  2300 ,     8 ,  2300 ,    2022.725813 ,       0.038862 ,       0.039201 ,   0.871166
   rocblas_wo_dt ,   SP ,  2400 ,     8 ,  2400 ,    2459.649553 ,       0.033822 ,       0.035362 ,   4.553785
   rocblas_wo_dt ,   SP ,  2500 ,     8 ,  2500 ,    2388.526475 ,       0.038958 ,       0.039244 ,   0.734394
   rocblas_wo_dt ,   SP ,  2600 ,     8 ,  2600 ,    2616.214225 ,       0.038400 ,       0.038719 ,   0.831988
   rocblas_wo_dt ,   SP ,  2700 ,     8 ,  2700 ,    2545.651282 ,       0.042500 ,       0.042958 ,   1.077078
   rocblas_wo_dt ,   SP ,  2800 ,     8 ,  2800 ,    2561.070001 ,       0.045519 ,       0.045938 ,   0.921852
   rocblas_wo_dt ,   SP ,  2900 ,     8 ,  2900 ,    2507.167570 ,       0.050101 ,       0.050302 ,   0.399734
   rocblas_wo_dt ,   SP ,  3000 ,     8 ,  3000 ,    2206.562039 ,       0.060616 ,       0.061159 ,   0.896790
   rocblas_wo_dt ,   SP ,   500 ,     9 ,   500 ,     724.875703 ,       0.005841 ,       0.005861 ,   0.347186
   rocblas_wo_dt ,   SP ,   600 ,     9 ,   600 ,     904.270887 ,       0.006717 ,       0.006767 ,   0.743378
